"annotation_id","annotator","created_at","id","label","lead_time","review","updated_at"
1,"1","2026-02-15T18:07:53.604938Z",1,"Positive",62.586,"This movie is a triumph in every sense. Highly recommended for everyone.","2026-02-15T18:07:53.604938Z"
2,"1","2026-02-15T18:08:29.360362Z",2,"Negative",34.826,"I have never been so bored in my life. The score was frankly cringe-worthy. Avoid this at all costs.","2026-02-15T18:08:29.360362Z"
3,"1","2026-02-15T18:08:39.832203Z",3,"Positive",9.908,"I was completely blown away by this film. The lead actor delivered a refreshing performance. I will be thinking about this for days.","2026-02-15T18:08:39.832203Z"
4,"1","2026-02-15T18:09:34.332477Z",4,"Negative",53.941,"The trailer was better than the movie. The acting was frankly tedious. A complete misfire.","2026-02-15T18:09:34.332477Z"
5,"1","2026-02-15T18:11:07.713687Z",5,"Neutral",92.444,"Middle of the road entertainment. Visually it's fine, but the story arc is just average. It is what it is.","2026-02-15T18:11:07.713687Z"
6,"1","2026-02-15T18:11:20.431244Z",6,"Positive",12.213,"It perfectly balances humor and drama. I was hooked from the very first minute.","2026-02-15T18:11:20.431244Z"
7,"1","2026-02-15T18:11:26.003572Z",7,"Negative",4.645,"I have never been so bored in my life. Nothing about the opening scene worked. A complete misfire.","2026-02-15T18:11:26.003572Z"
8,"1","2026-02-15T18:12:37.121672Z",8,"Negative",70.508,"Nothing about the acting worked. What a complete waste of potential.","2026-02-15T18:12:37.121672Z"
9,"1","2026-02-15T18:12:43.600882Z",9,"Neutral",5.625,"It’s not a masterpiece, but it’s not a disaster either. The acting is fine, but the editing is a bit serviceable. You won't remember it a week from now.","2026-02-15T18:12:43.600882Z"
10,"1","2026-02-15T18:13:27.284737Z",10,"Positive",42.866,"Simply put, this is cinema at its finest. The chemistry between the cast was superb. Don't miss this one.","2026-02-15T18:13:27.284737Z"
11,"1","2026-02-15T18:13:33.622149Z",11,"Neutral",5.532,"I oscillated between loving and hating this film. I respect the ambition, even if it didn't fully land.","2026-02-15T18:13:33.622149Z"
12,"1","2026-02-15T18:13:38.920774Z",12,"Neutral",4.774,"The acting was gripping, yet the acting felt dull. This is a very difficult movie to categorize.","2026-02-15T18:13:38.920774Z"
13,"1","2026-02-15T18:14:28.557693Z",13,"Neutral",49.145,"It tries to be deep, but comes off as dull despite the gripping music. A strange experience overall.","2026-02-15T18:14:28.558688Z"
14,"1","2026-02-15T18:14:34.143261Z",14,"Positive",4.774,"Wow, just wow. Every scene felt earned, and the costume design was masterful. Two thumbs way up.","2026-02-15T18:14:34.143261Z"
15,"1","2026-02-15T18:14:36.395710Z",15,"Neutral",1.725,"I am confused about how I feel. It left me puzzled.","2026-02-15T18:14:36.395710Z"
16,"1","2026-02-15T18:14:39.829989Z",16,"Neutral",2.778,"The direction was typical, but nothing special. Middle of the road entertainment.","2026-02-15T18:14:39.829989Z"
17,"1","2026-02-15T18:14:42.136086Z",17,"Negative",1.792,"Total garbage. Zero stars if I could give it.","2026-02-15T18:14:42.136086Z"
