"annotation_id","annotator","created_at","id","label","lead_time","review","updated_at"
1,"2","2026-02-15T11:55:13.437784Z",1,"Positive",120.388,"This movie is a triumph in every sense. Highly recommended for everyone.","2026-02-15T11:55:13.437784Z"
2,"2","2026-02-15T11:55:25.705299Z",2,"Negative",11.697,"I have never been so bored in my life. The score was frankly cringe-worthy. Avoid this at all costs.","2026-02-15T11:55:25.708703Z"
3,"2","2026-02-15T11:57:42.889870Z",3,"Positive",136.615,"I was completely blown away by this film. The lead actor delivered a refreshing performance. I will be thinking about this for days.","2026-02-15T11:57:42.889870Z"
4,"2","2026-02-15T11:57:55.040297Z",4,"Negative",11.627,"The trailer was better than the movie. The acting was frankly tedious. A complete misfire.","2026-02-15T11:57:55.040297Z"
5,"2","2026-02-15T11:58:05.371124Z",5,"Negative",9.772,"Middle of the road entertainment. Visually it's fine, but the story arc is just average. It is what it is.","2026-02-15T11:58:05.371124Z"
6,"2","2026-02-15T11:58:12.745507Z",6,"Positive",6.812,"It perfectly balances humor and drama. I was hooked from the very first minute.","2026-02-15T11:58:12.745507Z"
7,"2","2026-02-15T11:58:20.593134Z",7,"Negative",7.219,"I have never been so bored in my life. Nothing about the opening scene worked. A complete misfire.","2026-02-15T11:58:20.593134Z"
8,"2","2026-02-15T11:58:33.320858Z",8,"Negative",12.132,"Nothing about the acting worked. What a complete waste of potential.","2026-02-15T11:58:33.321395Z"
9,"2","2026-02-15T11:59:02.083365Z",9,"Neutral",28.212,"It’s not a masterpiece, but it’s not a disaster either. The acting is fine, but the editing is a bit serviceable. You won't remember it a week from now.","2026-02-15T11:59:02.083365Z"
10,"2","2026-02-15T11:59:14.892375Z",10,"Positive",12.185,"Simply put, this is cinema at its finest. The chemistry between the cast was superb. Don't miss this one.","2026-02-15T11:59:14.892375Z"
11,"2","2026-02-15T11:59:27.604232Z",11,"Neutral",12.156,"I oscillated between loving and hating this film. I respect the ambition, even if it didn't fully land.","2026-02-15T11:59:27.604232Z"
12,"2","2026-02-15T11:59:39.429113Z",12,"Neutral",11.274,"The acting was gripping, yet the acting felt dull. This is a very difficult movie to categorize.","2026-02-15T11:59:39.429113Z"
13,"2","2026-02-15T11:59:55.107173Z",13,"Negative",15.102,"It tries to be deep, but comes off as dull despite the gripping music. A strange experience overall.","2026-02-15T11:59:55.107173Z"
14,"2","2026-02-15T12:00:17.729203Z",14,"Positive",22.052,"Wow, just wow. Every scene felt earned, and the costume design was masterful. Two thumbs way up.","2026-02-15T12:00:17.729203Z"
15,"2","2026-02-15T12:00:27.348959Z",15,"Neutral",9.028,"I am confused about how I feel. It left me puzzled.","2026-02-15T12:00:27.348959Z"
16,"2","2026-02-15T12:00:34.813882Z",16,"Neutral",6.903,"The direction was typical, but nothing special. Middle of the road entertainment.","2026-02-15T12:00:34.813882Z"
17,"2","2026-02-15T12:00:39.006963Z",17,"Negative",3.664,"Total garbage. Zero stars if I could give it.","2026-02-15T12:00:39.006963Z"
18,"2","2026-02-15T12:00:47.063700Z",18,"Positive",7.304,"I didn't expect to enjoy this as much as I did. I particularly loved how the cinematography was handled. Don't miss this one.","2026-02-15T12:00:47.063700Z"
19,"2","2026-02-15T12:00:54.506129Z",19,"Negative",6.852,"I tried to like it, I really did, but it failed. I walked out halfway through.","2026-02-15T12:00:54.506129Z"
20,"2","2026-02-15T12:01:07.174768Z",20,"Neutral",12.139,"I am confused about how I feel. Your mileage may vary significantly.","2026-02-15T12:01:07.174768Z"
21,"2","2026-02-15T12:01:17.999422Z",21,"Negative",10.254,"I have mixed feelings about this one. You won't remember it a week from now.","2026-02-15T12:01:17.999422Z"
22,"2","2026-02-15T12:01:24.001076Z",22,"Positive",5.47,"I didn't expect to enjoy this as much as I did. It perfectly balances humor and drama. Do yourself a favor and go see this.","2026-02-15T12:01:24.001076Z"
23,"2","2026-02-15T12:01:33.537719Z",23,"Negative",8.962,"The costume design distracted me from everything else. I struggled to sit through the first half.","2026-02-15T12:01:33.537719Z"
24,"2","2026-02-15T12:01:41.029430Z",24,"Positive",6.966,"The visual effects were superb and added so much depth. This movie is a triumph in every sense.","2026-02-15T12:01:41.029430Z"
25,"2","2026-02-15T12:02:03.560000Z",25,"Positive",21.974,"Wow, just wow. It perfectly balances humor and drama. A must-watch for fans of the genre.","2026-02-15T12:02:03.560000Z"
26,"2","2026-02-15T12:02:11.503314Z",26,"Negative",7.341,"I have never been so bored in my life. Utterly disappointing.","2026-02-15T12:02:11.503314Z"
27,"2","2026-02-15T12:02:22.827729Z",27,"Positive",10.774,"A refreshing take on a tired genre. Don't miss this one.","2026-02-15T12:02:22.828691Z"
28,"2","2026-02-15T12:03:32.710171Z",28,"Neutral",69.304,"Ideally, this should have been great, but something was off. I think I need to watch it again to decide.","2026-02-15T12:03:32.710171Z"
29,"2","2026-02-15T12:03:38.120984Z",29,"Negative",4.842,"What a complete waste of potential. It’s a hard pass from me.","2026-02-15T12:03:38.121983Z"
30,"2","2026-02-15T12:03:53.225472Z",30,"Negative",14.535,"Great concept, but the execution was jarring. It’s a weird mix of brilliance and stupidity.","2026-02-15T12:03:53.225472Z"
31,"2","2026-02-15T12:04:04.545462Z",31,"Neutral",10.796,"Ideally, this should have been great, but something was off. It tries to be deep, but comes off as amateurish despite the flawless music. I think I need to watch it again to decide.","2026-02-15T12:04:04.545462Z"
32,"2","2026-02-15T12:04:11.188800Z",32,"Neutral",6.069,"This is a very difficult movie to categorize. The first half was intense, but the ending was tedious. Your mileage may vary significantly.","2026-02-15T12:04:11.188800Z"
33,"2","2026-02-15T12:04:16.032707Z",33,"Neutral",4.297,"This is a very difficult movie to categorize. The first half was phenomenal, but the ending was cheap. It’s definitely not for everyone.","2026-02-15T12:04:16.032707Z"
34,"2","2026-02-15T12:04:21.085841Z",34,"Negative",4.467,"This might be the worst thing I've seen all year. The plot holes were glaring and the cinematography was pretentious. Avoid this at all costs.","2026-02-15T12:04:21.085841Z"
35,"2","2026-02-15T12:04:28.294895Z",35,"Neutral",6.643,"I am confused about how I feel. The first half was flawless, but the ending was nonsensical. I think I need to watch it again to decide.","2026-02-15T12:04:28.294895Z"
36,"2","2026-02-15T12:04:37.944222Z",36,"Negative",9.077,"The acting is fine, but the story arc is a bit formulaic. It was a decent way to kill an afternoon.","2026-02-15T12:04:37.944222Z"
37,"2","2026-02-15T12:04:43.365033Z",37,"Positive",4.846,"It perfectly balances humor and drama. This movie is a triumph in every sense.","2026-02-15T12:04:43.365033Z"
38,"2","2026-02-15T12:06:06.566364Z",38,"Negative",82.629,"A frustrating experience. Avoid this at all costs.","2026-02-15T12:06:06.566364Z"
39,"2","2026-02-15T12:08:22.432911Z",39,"Neutral",135.315,"A strange experience overall. While the editing shines, the rest is uninspired. It’s definitely not for everyone.","2026-02-15T12:08:22.432911Z"
40,"2","2026-02-15T12:08:29.557123Z",40,"Positive",6.551,"Every scene felt earned, and the opening scene was heartwarming. A cinematic masterpiece.","2026-02-15T12:08:29.557123Z"
41,"2","2026-02-15T12:08:38.242919Z",41,"Negative",8.112,"Visually it's fine, but the editing is just adequate. It was a decent way to kill an afternoon.","2026-02-15T12:08:38.242919Z"
42,"2","2026-02-15T12:08:45.285767Z",42,"Positive",6.496,"Wow, just wow. I particularly loved how the pacing was handled. A must-watch for fans of the genre.","2026-02-15T12:08:45.285767Z"
43,"2","2026-02-15T12:08:53.499553Z",43,"Negative",7.653,"The CGI was okay, but forgettable. I walked in with low expectations and they were met.","2026-02-15T12:08:53.499553Z"
44,"2","2026-02-15T12:09:02.274910Z",44,"Negative",8.223,"Great concept, but the execution was clichéd. Ideally, this should have been great, but something was off.","2026-02-15T12:09:02.274910Z"
45,"2","2026-02-15T12:09:07.068492Z",45,"Neutral",4.186,"I am confused about how I feel. A polarizing experience for sure.","2026-02-15T12:09:07.068492Z"
46,"2","2026-02-15T12:09:14.527523Z",46,"Negative",6.888,"I tried to like it, I really did, but it failed. The cinematography distracted me from everything else. A complete misfire.","2026-02-15T12:09:14.527523Z"
47,"2","2026-02-15T12:09:22.989922Z",47,"Neutral",7.867,"It was... fine. It has some good moments, especially the costume design. It’s okay if you have nothing else to do.","2026-02-15T12:09:22.989922Z"
48,"2","2026-02-15T12:09:28.407687Z",48,"Positive",4.854,"This movie is a triumph in every sense. The visual effects were refreshing and added so much depth. A definitive 10/10.","2026-02-15T12:09:28.407687Z"
49,"2","2026-02-15T12:09:35.039457Z",49,"Negative",6.077,"It felt like a rough draft that was never edited. I struggled to sit through the first half.","2026-02-15T12:09:35.039457Z"
50,"2","2026-02-15T12:09:44.994814Z",50,"Neutral",9.383,"Great concept, but the execution was jarring. I oscillated between loving and hating this film.","2026-02-15T12:09:44.994814Z"
51,"2","2026-02-15T12:09:48.694174Z",51,"Positive",3.087,"An absolute joy to watch from start to finish. Two thumbs way up.","2026-02-15T12:09:48.694174Z"
52,"2","2026-02-15T12:09:57.683077Z",52,"Neutral",8.416,"I'm honestly still trying to process what I just saw. The first half was heartwarming, but the ending was unbearable. Your mileage may vary significantly.","2026-02-15T12:09:57.683077Z"
53,"2","2026-02-15T12:10:05.688400Z",53,"Negative",7.446,"I tried to like it, I really did, but it failed. I couldn't get past the nonsensical soundtrack. I walked out halfway through.","2026-02-15T12:10:05.688400Z"
54,"2","2026-02-15T12:10:12.750602Z",54,"Neutral",6.449,"Ideally, this should have been great, but something was off. It’s definitely not for everyone.","2026-02-15T12:10:12.750602Z"
55,"2","2026-02-15T12:10:16.506988Z",55,"Positive",3.194,"Finally, a movie that respects the audience. Two thumbs way up.","2026-02-15T12:10:16.506988Z"
56,"2","2026-02-15T12:10:20.805197Z",56,"Neutral",3.736,"I oscillated between loving and hating this film. It’s definitely not for everyone.","2026-02-15T12:10:20.805197Z"
57,"2","2026-02-15T12:10:37.877511Z",57,"Positive",16.517,"I was completely blown away by this film. Don't miss this one.","2026-02-15T12:10:37.877511Z"
58,"2","2026-02-15T12:10:42.636479Z",58,"Positive",4.206,"Finally, a movie that respects the audience. The lead actor delivered a flawless performance. It deserves all the awards it's getting.","2026-02-15T12:10:42.636479Z"
59,"2","2026-02-15T12:10:45.861969Z",59,"Negative",2.439,"Total garbage. A complete misfire.","2026-02-15T12:10:45.861969Z"
60,"2","2026-02-15T12:10:51.835155Z",60,"Negative",5.363,"An absolute train wreck of a movie. I couldn't get past the tedious score. Zero stars if I could give it.","2026-02-15T12:10:51.835155Z"
61,"2","2026-02-15T12:11:13.992999Z",61,"Neutral",21.596,"Standard fare for this type of movie. Wait for it to come out on streaming.","2026-02-15T12:11:13.992999Z"
62,"2","2026-02-15T12:11:17.836315Z",62,"Negative",3.236,"I have never been so bored in my life. Do not bother.","2026-02-15T12:11:17.836315Z"
63,"2","2026-02-15T12:11:24.741098Z",63,"Neutral",6.344,"The acting was touching, yet the dialogue felt nonsensical. I oscillated between loving and hating this film.","2026-02-15T12:11:24.741098Z"
64,"2","2026-02-15T12:11:33.743445Z",64,"Neutral",8.437,"It doesn't leave a lasting impression. It serves its purpose as popcorn filler.","2026-02-15T12:11:33.743445Z"
65,"2","2026-02-15T12:11:40.992401Z",65,"Neutral",6.65,"It serves its purpose as popcorn filler. If you're bored, give it a shot.","2026-02-15T12:11:40.992401Z"
