"annotation_id","annotator","created_at","id","label","lead_time","review","updated_at"
101,"1","2026-02-15T18:42:20.050301Z",1,"Positive",7.408,"This movie is a triumph in every sense. Highly recommended for everyone.","2026-02-15T18:42:20.050301Z"
102,"1","2026-02-15T18:44:44.344206Z",2,"Negative",60.373,"I have never been so bored in my life. The score was frankly cringe-worthy. Avoid this at all costs.","2026-02-15T18:44:44.344206Z"
103,"1","2026-02-15T18:44:57.982218Z",3,"Positive",11.44,"I was completely blown away by this film. The lead actor delivered a refreshing performance. I will be thinking about this for days.","2026-02-15T18:44:57.982218Z"
104,"1","2026-02-15T18:45:12.138682Z",4,"Negative",12.391,"The trailer was better than the movie. The acting was frankly tedious. A complete misfire.","2026-02-15T18:45:12.138682Z"
105,"1","2026-02-15T18:45:20.824584Z",5,"Neutral",7.224,"Middle of the road entertainment. Visually it's fine, but the story arc is just average. It is what it is.","2026-02-15T18:45:20.824584Z"
106,"1","2026-02-15T18:45:55.397003Z",6,"Negative",33.763,"It perfectly balances humor and drama. I was hooked from the very first minute.","2026-02-15T18:45:55.397003Z"
107,"1","2026-02-15T18:46:06.933139Z",7,"Negative",10.461,"I have never been so bored in my life. Nothing about the opening scene worked. A complete misfire.","2026-02-15T18:46:06.933139Z"
108,"1","2026-02-15T18:46:20.867186Z",8,"Negative",13.06,"Nothing about the acting worked. What a complete waste of potential.","2026-02-15T18:46:20.867186Z"
109,"1","2026-02-15T18:46:34.023795Z",9,"Positive",12.044,"It’s not a masterpiece, but it’s not a disaster either. The acting is fine, but the editing is a bit serviceable. You won't remember it a week from now.","2026-02-15T18:46:34.023795Z"
110,"1","2026-02-15T18:46:44.449750Z",10,"Positive",9.482,"Simply put, this is cinema at its finest. The chemistry between the cast was superb. Don't miss this one.","2026-02-15T18:46:44.449750Z"
111,"1","2026-02-15T18:46:54.997950Z",11,"Positive",9.588,"I oscillated between loving and hating this film. I respect the ambition, even if it didn't fully land.","2026-02-15T18:46:54.997950Z"
112,"1","2026-02-15T18:47:10.307702Z",12,"Negative",14.1,"The acting was gripping, yet the acting felt dull. This is a very difficult movie to categorize.","2026-02-15T18:47:10.307702Z"
113,"1","2026-02-15T18:47:22.831006Z",13,"Positive",10.564,"It tries to be deep, but comes off as dull despite the gripping music. A strange experience overall.","2026-02-15T18:47:22.831006Z"
114,"1","2026-02-15T18:47:32.965477Z",14,"Neutral",8.332,"Wow, just wow. Every scene felt earned, and the costume design was masterful. Two thumbs way up.","2026-02-15T18:47:32.965477Z"
115,"1","2026-02-15T18:47:43.440300Z",15,"Neutral",7.62,"I am confused about how I feel. It left me puzzled.","2026-02-15T18:47:43.441296Z"
116,"1","2026-02-15T18:47:52.747355Z",16,"Neutral",6.89,"The direction was typical, but nothing special. Middle of the road entertainment.","2026-02-15T18:47:52.747355Z"
117,"1","2026-02-15T18:48:02.565590Z",17,"Positive",8.746,"Total garbage. Zero stars if I could give it.","2026-02-15T18:48:02.565590Z"
